MARKERS	FST	RANKING	QUARTILE
1_00009604_00768281	0.895062	1	10
1_00009604_00768282	0.895062	2	10
1_00005841_00467220	0.888666	3	10
1_00019280_01542371	0.888666	4	10
1_00005841_00467263	0.883024	5	10
1_00012903_01032235	0.843137	6	10
1_00013515_01081129	0.843137	7	10
1_00018265_01461153	0.811131	8	10
1_00021589_01727108	0.791667	9	10
1_00003532_00282512	0.778026	10	10
1_00003532_00282529	0.778026	11	10
1_00009939_00795083	0.769648	12	10
1_00009939_00795110	0.769648	13	10
1_00016532_01322545	0.768234	14	10
1_00015472_01237711	0.755652	15	10
1_00020563_01645032	0.740741	16	10
1_00020636_01650838	0.740741	17	10
1_00021589_01727060	0.740741	18	10
1_00011791_00943252	0.733333	19	10
1_00018755_01500335	0.730066	20	10
1_00018755_01500353	0.730066	21	10
1_00018755_01500393	0.730066	22	10
1_00018755_01500395	0.730066	23	10
1_00004287_00342905	0.707977	24	10
1_00012476_00998043	0.707977	25	10
1_00015378_01230210	0.707977	26	10
1_00008750_00699933	0.700855	27	10
1_00008750_00699959	0.700855	28	10
1_00014257_01140547	0.700855	29	10
1_00005478_00438209	0.691429	30	10
1_00006257_00500507	0.690476	31	10
1_00017164_01373082	0.683884	32	10
1_00020514_01641112	0.68254	33	10
1_00014347_01147752	0.674603	34	10
1_00020251_01620065	0.669944	35	10
1_00005804_00464249	0.662835	36	10
1_00008758_00700638	0.662835	37	10
1_00008808_00704590	0.662835	38	10
1_00022913_01833017	0.662835	39	10
1_00011281_00902475	0.655172	40	10
1_00013053_01044226	0.655172	41	10
1_00018160_01452790	0.655172	42	10
1_00018351_01468066	0.655172	43	10
1_00000811_00064875	0.650358	44	10
1_00001122_00089701	0.647147	45	10
1_00008039_00643097	0.647147	46	10
1_00010885_00870744	0.647147	47	10
1_00013177_01054096	0.647147	48	10
1_00009226_00738059	0.642058	49	10
1_00016189_01295075	0.642058	50	10
1_00007299_00583849	0.641026	51	10
1_00018890_01511182	0.63964	52	10
1_00000696_00055623	0.632479	53	10
1_00012304_00984277	0.632479	54	10
1_00012475_00997965	0.632479	55	10
1_00018344_01467505	0.632479	56	10
1_00020060_01604754	0.632479	57	10
1_00020060_01604783	0.632479	58	10
1_00023014_01841055	0.632479	59	10
1_00001567_00125291	0.627663	60	10
1_00001567_00125331	0.627663	61	10
1_00008589_00687049	0.627663	62	10
1_00007207_00576503	0.623932	63	10
1_00011183_00894608	0.623932	64	10
1_00016178_01294184	0.623932	65	10
1_00020773_01661793	0.623932	66	10
1_00021879_01750270	0.623932	67	10
1_00004026_00322074	0.619922	68	10
1_00018755_01500359	0.605471	69	10
1_00003606_00288441	0.599673	70	10
1_00010920_00873554	0.599673	71	10
1_00018351_01468063	0.599673	72	10
1_00018351_01468064	0.599673	73	10
1_00020514_01641121	0.599673	74	10
1_00013198_01055839	0.595115	75	10
1_00011911_00952848	0.592593	76	10
1_00000959_00076683	0.591503	77	10
1_00000959_00076701	0.591503	78	10
1_00020524_01641892	0.590803	79	10
1_00013885_01110786	0.588664	80	10
1_00000323_00025778	0.583333	81	10
1_00005146_00411619	0.583333	82	10
1_00006411_00512877	0.583333	83	10
1_00010785_00862801	0.583333	84	10
1_00012507_01000544	0.583333	85	10
1_00014789_01183101	0.583333	86	10
1_00021789_01743121	0.583333	87	10
1_00016363_01309025	0.582974	88	10
1_00010415_00833138	0.579365	89	10
1_00022760_01820796	0.579365	90	10
1_00000678_00054239	0.577465	91	10
1_00001638_00131032	0.574074	92	10
1_00007604_00608286	0.574074	93	10
1_00007604_00608295	0.574074	94	10
1_00018923_01513831	0.574074	95	10
1_00022721_01817629	0.574074	96	10
1_00022721_01817650	0.574074	97	10
1_00022959_01836679	0.574074	98	10
1_00014752_01180108	0.572414	99	10
1_00020563_01644969	0.56964	100	10
1_00006666_00533217	0.56587	101	10
1_00002090_00167163	0.564815	102	10
1_00002090_00167181	0.564815	103	10
1_00004259_00340713	0.559294	104	10
1_00003631_00290473	0.553806	105	10
1_00016044_01283477	0.553806	106	10
1_00022241_01779281	0.553806	107	10
1_00011151_00892025	0.552654	108	10
1_00011608_00928624	0.552654	109	10
1_00017485_01398780	0.552357	110	10
1_00004026_00322051	0.550108	111	10
1_00002073_00165776	0.549311	112	10
1_00019433_01554599	0.546763	113	10
1_00019433_01554632	0.546763	114	10
1_00019433_01554635	0.546763	115	10
1_00022942_01835316	0.546381	116	10
1_00018226_01458026	0.545455	117	10
1_00012946_01035643	0.545057	118	10
1_00019213_01537024	0.545057	119	10
1_00018067_01445329	0.544798	120	10
1_00013168_01053438	0.543811	121	10
1_00018202_01456129	0.543811	122	10
1_00019740_01579179	0.543811	123	10
1_00005760_00460758	0.541149	124	10
1_00017916_01433261	0.540083	125	10
1_00007311_00584873	0.539286	126	10
1_00007311_00584875	0.539286	127	10
1_00005265_00421199	0.536308	128	10
1_00021010_01680753	0.535524	129	10
1_00004670_00373581	0.535354	130	10
1_00022712_01816939	0.535354	131	10
1_00005022_00401704	0.529501	132	10
1_00007053_00564229	0.52862	133	10
1_00013401_01072018	0.52862	134	10
1_00005271_00421626	0.525875	135	10
1_00005347_00427760	0.525875	136	10
1_00020817_01665316	0.525875	137	10
1_00020817_01665331	0.525875	138	10
1_00000316_00025232	0.525253	139	10
1_00003512_00280912	0.525253	140	10
1_00005853_00468180	0.525253	141	10
1_00005853_00468183	0.525253	142	10
1_00008546_00683645	0.525253	143	10
1_00008627_00690108	0.525253	144	10
1_00011671_00933620	0.525253	145	10
1_00012534_01002698	0.525253	146	10
1_00015749_01259891	0.525253	147	10
1_00017440_01395150	0.525253	148	10
1_00017876_01430066	0.525253	149	10
1_00018879_01510316	0.525253	150	10
1_00018879_01510319	0.525253	151	10
1_00022285_01782782	0.525253	152	10
1_00022285_01782787	0.525253	153	10
1_00022285_01782788	0.525253	154	10
1_00010779_00862260	0.523649	155	10
1_00014392_01151294	0.521307	156	10
1_00003995_00319550	0.520202	157	10
1_00011471_00917638	0.520202	158	10
1_00016944_01355462	0.520202	159	10
1_00021996_01759681	0.520202	160	10
1_00021920_01753534	0.516224	161	10
1_00002908_00232637	0.515152	162	10
1_00002908_00232638	0.515152	163	10
1_00004497_00359691	0.515152	164	10
1_00005802_00464128	0.515152	165	10
1_00009533_00762591	0.515152	166	10
1_00021067_01685342	0.515152	167	10
1_00021593_01727416	0.515152	168	10
1_00002867_00229347	0.514403	169	10
1_00002425_00193981	0.5125	170	10
1_00000922_00073741	0.511785	171	10
1_00016358_01308638	0.510294	172	10
1_00015215_01217175	0.509804	173	10
1_00019090_01527197	0.507713	174	10
1_00015389_01231089	0.506173	175	10
1_00018178_01454238	0.506173	176	10
1_00019004_01520297	0.506173	177	10
1_00020599_01647891	0.506173	178	10
1_00016013_01280991	0.505051	179	10
1_00018269_01461497	0.504587	180	10
1_00010365_00829186	0.500942	181	10
1_00018888_01510975	0.500942	182	10
1_00020448_01635834	0.500942	183	10
1_00020102_01608126	0.499816	184	10
1_00001700_00135928	0.499722	185	10
1_00017194_01375521	0.499722	186	10
1_00021772_01741700	0.499722	187	10
1_00004840_00387136	0.497942	188	10
1_00009628_00770226	0.497942	189	10
1_00009869_00789507	0.497942	190	10
1_00009279_00742281	0.494933	191	10
1_00009279_00742299	0.494933	192	10
1_00007399_00591877	0.491525	193	10
1_00010454_00836314	0.491525	194	10
1_00012141_00971210	0.491525	195	10
1_00014495_01159598	0.491525	196	10
1_00017101_01368033	0.491525	197	10
1_00018072_01445754	0.491525	198	10
1_00020788_01663005	0.491525	199	10
1_00022739_01819068	0.491525	200	10
1_00022885_01830759	0.491525	201	10
1_00018991_01519227	0.488889	202	10
1_00019364_01549074	0.488889	203	10
1_00021177_01694089	0.48804	204	10
1_00016551_01324017	0.487618	205	10
1_00011570_00925535	0.487027	206	10
1_00021751_01740045	0.487027	207	10
1_00019433_01554641	0.485714	208	10
1_00004922_00393736	0.482109	209	10
1_00007182_00574534	0.482109	210	10
1_00007182_00574541	0.482109	211	10
1_00008801_00704059	0.482109	212	10
1_00011296_00903649	0.482109	213	10
1_00017236_01378861	0.482109	214	10
1_00019686_01574872	0.482109	215	10
1_00019777_01582093	0.482109	216	10
1_00021686_01734860	0.482109	217	10
1_00022156_01772461	0.482109	218	10
1_00022156_01772471	0.482109	219	10
1_00002542_00203290	0.477778	220	10
