MARKERS	FST	RANKING	QUARTILE
1_00019280_01542371	0.875595	1	10
1_00008758_00700638	0.740741	2	10
1_00015472_01237711	0.740741	3	10
1_00021589_01727108	0.733333	4	10
1_00011471_00917638	0.718615	5	10
1_00008808_00704590	0.707977	6	10
1_00018072_01445754	0.707977	7	10
1_00022942_01835316	0.691131	8	10
1_00024603_01968203	0.691131	9	10
1_00024603_01968217	0.691131	10	10
1_00007299_00583849	0.690476	11	10
1_00016044_01283477	0.690476	12	10
1_00013885_01110786	0.688029	13	10
1_00014347_01147752	0.674603	14	10
1_00009604_00768281	0.666599	15	10
1_00009604_00768282	0.666599	16	10
1_00006416_00513215	0.662835	17	10
1_00008549_00683903	0.650183	18	10
1_00004742_00379329	0.647147	19	10
1_00021078_01686196	0.646829	20	10
1_00005841_00467263	0.642058	21	10
1_00000798_00063812	0.641026	22	10
1_00016018_01281409	0.63964	23	10
1_00016178_01294184	0.63964	24	10
1_00018890_01511182	0.63964	25	10
1_00012721_01017631	0.639081	26	10
1_00019004_01520297	0.634601	27	10
1_00011058_00884623	0.632479	28	10
1_00012903_01032235	0.632479	29	10
1_00013515_01081129	0.623932	30	10
1_00015069_01205509	0.621164	31	10
1_00005122_00409741	0.619922	32	10
1_00011151_00892025	0.619922	33	10
1_00006257_00500507	0.607843	34	10
1_00020563_01645032	0.607843	35	10
1_00018065_01445150	0.605471	36	10
1_00024204_01936255	0.603761	37	10
1_00000696_00055623	0.599673	38	10
1_00007399_00591877	0.599673	39	10
1_00012723_01017782	0.599673	40	10
1_00012723_01017804	0.599673	41	10
1_00012723_01017805	0.599673	42	10
1_00019090_01527197	0.599673	43	10
1_00022913_01833017	0.599673	44	10
1_00007478_00598201	0.596154	45	10
1_00023014_01841055	0.595115	46	10
1_00016044_01283473	0.592593	47	10
1_00018067_01445329	0.592593	48	10
1_00020817_01665316	0.590487	49	10
1_00020817_01665331	0.590487	50	10
1_00005841_00467220	0.587302	51	10
1_00008267_00661361	0.583333	52	10
