MARKERS	FST	RANKING	QUARTILE
1_00019280_01542371	0.843137	1	10
1_00024603_01968203	0.828518	2	10
1_00024603_01968217	0.828518	3	10
1_00005841_00467263	0.821583	4	10
1_00015378_01230210	0.769648	5	10
1_00011584_00926669	0.740741	6	10
1_00005841_00467220	0.73385	7	10
1_00018242_01459295	0.733333	8	10
1_00015126_01210066	0.718615	9	10
1_00016532_01322545	0.718615	10	10
1_00018890_01511182	0.718615	11	10
1_00013381_01070467	0.717349	12	10
1_00016363_01309025	0.707977	13	10
1_00021996_01759681	0.707977	14	10
1_00018269_01461497	0.691131	15	10
1_00018067_01445329	0.677852	16	10
1_00000169_00013521	0.674603	17	10
1_00008294_00663494	0.662835	18	10
1_00003995_00319550	0.655172	19	10
1_00006257_00500507	0.641026	20	10
1_00020563_01645032	0.641026	21	10
1_00021589_01727108	0.641026	22	10
1_00018263_01461006	0.639081	23	10
1_00020666_01653263	0.63833	24	10
1_00001122_00089701	0.632479	25	10
1_00012903_01032235	0.632479	26	10
1_00012989_01039090	0.632479	27	10
1_00015472_01237711	0.630123	28	10
1_00000042_00003322	0.623932	29	10
1_00006676_00534012	0.623932	30	10
1_00020543_01643419	0.623932	31	10
1_00001550_00123980	0.607843	32	10
1_00009375_00749978	0.603761	33	10
1_00024603_01968218	0.600318	34	10
1_00024603_01968226	0.600318	35	10
1_00017309_01384654	0.6	36	10
1_00005438_00435001	0.596695	37	10
1_00019004_01520297	0.591503	38	10
1_00000078_00006237	0.587302	39	10
1_00008281_00662480	0.583333	40	10
1_00021496_01719618	0.583333	41	10
1_00022829_01826303	0.583333	42	10
1_00012476_00998043	0.579365	43	10
1_00018160_01452790	0.579365	44	10
1_00018178_01454238	0.577465	45	10
1_00017309_01384677	0.575105	46	10
1_00017309_01384697	0.575105	47	10
1_00000714_00057089	0.574074	48	10
1_00000922_00073741	0.56964	49	10
1_00006666_00533217	0.56964	50	10
1_00022241_01779281	0.56964	51	10
1_00017774_01421891	0.559294	52	10
1_00003532_00282512	0.557002	53	10
1_00003532_00282529	0.557002	54	10
1_00013392_01071345	0.553806	55	10
1_00019222_01537712	0.549174	56	10
1_00011058_00884623	0.545455	57	10
1_00021589_01727060	0.545455	58	10
1_00005146_00411619	0.545057	59	10
1_00005298_00423768	0.545057	60	10
1_00015215_01217175	0.545057	61	10
1_00016431_01314453	0.545057	62	10
1_00017485_01398780	0.545057	63	10
1_00019528_01562195	0.545057	64	10
1_00010086_00806863	0.54093	65	10
1_00020636_01650838	0.54093	66	10
1_00010023_00801825	0.535354	67	10
1_00013515_01081129	0.535354	68	10
1_00019230_01538342	0.530923	69	10
1_00007451_00596057	0.527559	70	10
1_00007931_00634432	0.52573	71	10
1_00007408_00592584	0.525253	72	10
1_00007702_00616119	0.525253	73	10
1_00014528_01162216	0.525253	74	10
1_00015053_01204205	0.525253	75	10
1_00019782_01582531	0.525253	76	10
1_00021273_01701816	0.525253	77	10
1_00017309_01384716	0.521496	78	10
1_00002740_00219198	0.520202	79	10
1_00003753_00300234	0.520202	80	10
1_00008589_00687049	0.520202	81	10
1_00008826_00706033	0.520202	82	10
1_00012141_00971210	0.520202	83	10
1_00017101_01368033	0.520202	84	10
1_00020382_01630526	0.520202	85	10
1_00020448_01635834	0.520202	86	10
1_00000193_00015403	0.515152	87	10
1_00002090_00167181	0.515152	88	10
1_00020060_01604754	0.515152	89	10
1_00020060_01604783	0.515152	90	10
1_00021433_01714637	0.515152	91	10
1_00005265_00421199	0.514403	92	10
1_00010885_00870744	0.514403	93	10
1_00013177_01054096	0.514403	94	10
1_00016363_01308982	0.514403	95	10
1_00016363_01308984	0.514403	96	10
1_00016363_01308994	0.514403	97	10
1_00010415_00833138	0.511785	98	10
1_00012781_01022454	0.511785	99	10
1_00012781_01022481	0.511785	100	10
1_00021162_01692952	0.511785	101	10
1_00005302_00424151	0.509804	102	10
1_00006691_00535212	0.506173	103	10
1_00004567_00365332	0.505051	104	10
1_00004792_00383334	0.501634	105	10
1_00008613_00689021	0.501634	106	10
1_00019043_01523379	0.501634	107	10
1_00020514_01641112	0.501634	108	10
1_00013207_01056511	0.500942	109	10
1_00012437_00994903	0.499816	110	10
1_00008303_00664193	0.49928	111	10
1_00001770_00141581	0.491525	112	10
1_00001770_00141584	0.491525	113	10
1_00010292_00823326	0.491525	114	10
1_00010819_00865508	0.491525	115	10
1_00012474_00997881	0.491525	116	10
1_00018351_01468066	0.491525	117	10
1_00019542_01563340	0.490067	118	10
1_00005443_00435388	0.488889	119	10
1_00017440_01395150	0.488889	120	10
1_00018938_01515029	0.48804	121	10
1_00021177_01694089	0.48804	122	10
1_00007053_00564229	0.482109	123	10
1_00010737_00858923	0.482109	124	10
1_00022942_01835316	0.482109	125	10
1_00005271_00421626	0.479731	126	10
1_00014752_01180108	0.478093	127	10
1_00002795_00223577	0.477778	128	10
1_00017233_01378597	0.477778	129	10
1_00007399_00591877	0.475302	130	10
1_00017236_01378861	0.472693	131	10
1_00012723_01017780	0.472222	132	10
1_00022614_01809049	0.472222	133	10
1_00018486_01478843	0.471812	134	10
1_00010117_00809346	0.471326	135	10
1_00013401_01072018	0.471326	136	10
1_00000959_00076683	0.470419	137	10
1_00000959_00076701	0.470419	138	10
1_00021078_01686196	0.470419	139	10
1_00022037_01762959	0.470419	140	10
1_00001638_00131032	0.466667	141	10
1_00002097_00167701	0.466667	142	10
1_00006967_00557309	0.466667	143	10
1_00007299_00583849	0.466667	144	10
1_00009739_00779120	0.466667	145	10
1_00010263_00821006	0.466667	146	10
1_00011715_00937144	0.466667	147	10
1_00012406_00992479	0.466667	148	10
1_00015150_01211935	0.466667	149	10
1_00017706_01416453	0.466667	150	10
1_00018344_01467505	0.466667	151	10
1_00019802_01584142	0.466667	152	10
1_00011748_00939838	0.466577	153	10
