MARKERS	FST	RANKING	QUARTILE
1_00022241_01779281	0.889503	1	10
1_00018755_01500393	0.71805	2	10
1_00018755_01500395	0.71805	3	10
1_00019222_01537712	0.705847	4	10
1_00003815_00305161	0.690973	5	10
1_00003815_00305191	0.690973	6	10
1_00018755_01500335	0.674587	7	10
1_00018755_01500353	0.674587	8	10
1_00019280_01542371	0.674587	9	10
1_00007702_00616119	0.659646	10	10
1_00009668_00773375	0.659646	11	10
1_00002699_00215852	0.659281	12	10
1_00006233_00498570	0.655172	13	10
1_00006233_00498594	0.655172	14	10
1_00006233_00498616	0.655172	15	10
1_00012476_00998043	0.655172	16	10
1_00012903_01032235	0.655172	17	10
1_00014100_01127961	0.655172	18	10
1_00022913_01833017	0.655172	19	10
1_00022610_01808753	0.647147	20	10
1_00015097_01207739	0.646829	21	10
1_00002812_00224928	0.642058	22	10
1_00002953_00236212	0.642058	23	10
1_00010920_00873554	0.63964	24	10
1_00018065_01445150	0.628411	25	10
1_00005841_00467220	0.627663	26	10
1_00011183_00894608	0.614795	27	10
1_00001726_00138044	0.611462	28	10
1_00001318_00105412	0.609683	29	10
1_00005841_00467263	0.607843	30	10
1_00018242_01459295	0.607843	31	10
1_00016776_01342058	0.592593	32	10
1_00000678_00054239	0.590487	33	10
1_00002073_00165776	0.587302	34	10
1_00006416_00513215	0.587302	35	10
1_00007299_00583849	0.587302	36	10
1_00009921_00793633	0.587302	37	10
1_00018160_01452790	0.587302	38	10
1_00009513_00761002	0.584758	39	10
1_00000798_00063812	0.583333	40	10
1_00005188_00414987	0.583333	41	10
1_00011977_00958111	0.583333	42	10
1_00017236_01378861	0.583333	43	10
1_00019704_01576276	0.583333	44	10
1_00005693_00455402	0.581451	45	10
1_00005777_00462140	0.581451	46	10
1_00016944_01355462	0.579365	47	10
1_00010117_00809346	0.577465	48	10
1_00001408_00112600	0.574074	49	10
1_00001408_00112637	0.574074	50	10
1_00022573_01805819	0.574074	51	10
1_00002090_00167181	0.569736	52	10
1_00018344_01467505	0.564815	53	10
1_00019416_01553236	0.560061	54	10
1_00019416_01553237	0.560061	55	10
1_00016502_01320142	0.559294	56	10
1_00023469_01877472	0.557002	57	10
1_00001638_00131032	0.553806	58	10
1_00016431_01314453	0.553806	59	10
1_00005749_00459850	0.550108	60	10
1_00012723_01017782	0.549954	61	10
1_00012723_01017804	0.549954	62	10
1_00012723_01017805	0.549954	63	10
1_00004670_00373581	0.545057	64	10
1_00011791_00943252	0.545057	65	10
1_00013774_01101890	0.545057	66	10
1_00017547_01403741	0.545057	67	10
1_00022241_01779276	0.545057	68	10
1_00000169_00013521	0.543798	69	10
1_00021078_01686196	0.541149	70	10
1_00001737_00138890	0.536308	71	10
1_00001737_00138897	0.536308	72	10
1_00015060_01204782	0.52862	73	10
1_00022156_01772461	0.52862	74	10
1_00022156_01772471	0.52862	75	10
1_00004287_00342905	0.520202	76	10
1_00011151_00892025	0.520202	77	10
1_00015420_01233539	0.520202	78	10
1_00021263_01701020	0.520202	79	10
1_00012507_01000544	0.515152	80	10
1_00021789_01743121	0.515152	81	10
1_00009386_00750810	0.514403	82	10
1_00016018_01281409	0.514403	83	10
1_00017088_01367009	0.514403	84	10
1_00022715_01817147	0.514403	85	10
1_00004693_00375438	0.512522	86	10
1_00004693_00375441	0.512522	87	10
1_00001559_00124651	0.511785	88	10
1_00004026_00322074	0.511785	89	10
1_00006257_00500507	0.511785	90	10
1_00013515_01081129	0.511785	91	10
1_00000852_00068129	0.506173	92	10
1_00005804_00464249	0.506173	93	10
1_00007478_00598201	0.506173	94	10
1_00008294_00663494	0.506173	95	10
1_00012946_01035643	0.506173	96	10
1_00012946_01035644	0.506173	97	10
1_00017916_01433261	0.503378	98	10
1_00010117_00809292	0.501634	99	10
1_00010117_00809293	0.501634	100	10
1_00005760_00460758	0.501533	101	10
1_00000027_00002161	0.500942	102	10
1_00021344_01707489	0.500942	103	10
1_00021020_01681551	0.499816	104	10
1_00020060_01604783	0.499722	105	10
1_00008801_00704059	0.497942	106	10
1_00009869_00789507	0.497942	107	10
1_00008136_00650881	0.494933	108	10
1_00014752_01180108	0.493243	109	10
1_00007964_00637075	0.491525	110	10
1_00012534_01002698	0.491525	111	10
1_00012932_01034511	0.491525	112	10
1_00008291_00663210	0.489691	113	10
1_00022972_01837743	0.488889	114	10
1_00010159_00812683	0.487618	115	10
1_00010159_00812684	0.487618	116	10
