MARKERS	FST	RANKING	QUARTILE
1_00002699_00215852	0.761876	1	10
1_00005760_00460758	0.7114	2	10
1_00015126_01210066	0.68254	3	10
1_00021078_01686196	0.681101	4	10
1_00022913_01833017	0.662835	5	10
1_00019280_01542371	0.657492	6	10
1_00016944_01355462	0.647147	7	10
1_00005749_00459850	0.642058	8	10
1_00009869_00789507	0.63964	9	10
1_00010785_00862801	0.63964	10	10
1_00011183_00894608	0.63964	11	10
1_00012852_01028159	0.632479	12	10
1_00019222_01537712	0.621164	13	10
1_00004670_00373581	0.599673	14	10
1_00012903_01032235	0.599673	15	10
1_00015039_01203081	0.599673	16	10
1_00018242_01459295	0.599673	17	10
1_00005841_00467263	0.590487	18	10
1_00006416_00513215	0.587302	19	10
1_00018065_01445150	0.579534	20	10
1_00007478_00598201	0.577465	21	10
1_00022052_01764108	0.577465	22	10
1_00005478_00438209	0.572414	23	10
1_00006257_00500507	0.571429	24	10
1_00016363_01309025	0.567311	25	10
1_00008581_00686432	0.561815	26	10
1_00008581_00686439	0.561815	27	10
1_00008581_00686441	0.561815	28	10
1_00008581_00686477	0.561815	29	10
1_00008717_00697334	0.559294	30	10
1_00008717_00697351	0.559294	31	10
1_00015359_01228693	0.553806	32	10
1_00005317_00425332	0.550108	33	10
1_00002560_00204773	0.545057	34	10
1_00011818_00945400	0.545057	35	10
1_00010415_00833138	0.543811	36	10
1_00022241_01779281	0.543811	37	10
1_00003071_00245652	0.536308	38	10
1_00019686_01574872	0.535354	39	10
1_00019704_01576276	0.535354	40	10
1_00004922_00393736	0.527559	41	10
1_00007133_00570630	0.527559	42	10
1_00022241_01779276	0.525875	43	10
1_00001091_00087220	0.525253	44	10
1_00007959_00636689	0.525253	45	10
1_00012121_00969635	0.525253	46	10
1_00012121_00969638	0.525253	47	10
1_00012121_00969656	0.525253	48	10
1_00012121_00969657	0.525253	49	10
1_00013112_01048940	0.525253	50	10
1_00022885_01830759	0.525253	51	10
1_00022972_01837743	0.525253	52	10
1_00010779_00862321	0.525	53	10
1_00005841_00467220	0.523315	54	10
1_00000696_00055623	0.520202	55	10
1_00009226_00738059	0.520202	56	10
1_00003893_00311438	0.515152	57	10
1_00005697_00455753	0.515152	58	10
1_00006870_00549576	0.515152	59	10
1_00018732_01498508	0.515152	60	10
1_00018351_01468066	0.514403	61	10
1_00020311_01624881	0.514403	62	10
1_00015378_01230210	0.511785	63	10
1_00019993_01599411	0.511785	64	10
1_00020773_01661793	0.511785	65	10
1_00021879_01750270	0.511785	66	10
1_00011047_00883737	0.510294	67	10
1_00020933_01674576	0.510232	68	10
1_00013838_01107027	0.506766	69	10
1_00013838_01107036	0.506766	70	10
1_00003753_00300234	0.506173	71	10
1_00004287_00342905	0.506173	72	10
1_00020722_01657715	0.501533	73	10
1_00020722_01657732	0.501533	74	10
1_00009668_00773375	0.499722	75	10
1_00018160_01452790	0.497942	76	10
1_00000352_00028093	0.493464	77	10
1_00000352_00028096	0.493464	78	10
1_00012476_00998043	0.493464	79	10
1_00024204_01936255	0.491525	80	10
1_00005188_00414987	0.489211	81	10
1_00005298_00423768	0.488889	82	10
1_00020497_01639750	0.488889	83	10
1_00002338_00187012	0.477778	84	10
1_00008303_00664193	0.475096	85	10
1_00016363_01308982	0.474224	86	10
1_00016363_01308994	0.474224	87	10
1_00007299_00583921	0.472353	88	10
1_00015097_01207739	0.470419	89	10
1_00014736_01178866	0.466667	90	10
1_00015757_01260529	0.466667	91	10
1_00017396_01391637	0.466667	92	10
1_00005410_00432766	0.463011	93	10
1_00004567_00365332	0.462563	94	10
1_00001638_00131032	0.462366	95	10
1_00006944_00555489	0.462366	96	10
1_00007399_00591877	0.462366	97	10
1_00015060_01204782	0.462366	98	10
1_00018890_01511182	0.462366	99	10
1_00004742_00379329	0.461455	100	10
1_00017916_01433261	0.461107	101	10
1_00007889_00631099	0.459559	102	10
1_00007889_00631121	0.459559	103	10
1_00016013_01280991	0.455556	104	10
1_00016776_01342058	0.455556	105	10
1_00019939_01595115	0.453902	106	10
1_00009260_00740800	0.453405	107	10
1_00020082_01606519	0.453125	108	10
1_00018269_01461497	0.452208	109	10
1_00003330_00266383	0.449541	110	10
1_00004836_00386863	0.444444	111	10
1_00009921_00793633	0.444444	112	10
1_00017088_01367009	0.444444	113	10
1_00006233_00498570	0.440471	114	10
1_00006233_00498594	0.440471	115	10
1_00006233_00498616	0.440471	116	10
1_00001737_00138890	0.439348	117	10
1_00001737_00138897	0.439348	118	10
1_00010752_00860107	0.439348	119	10
1_00019416_01553236	0.439348	120	10
1_00019416_01553237	0.439348	121	10
1_00019043_01523379	0.437674	122	10
1_00011193_00895382	0.435897	123	10
1_00022223_01777825	0.435897	124	10
1_00008294_00663494	0.435764	125	10
1_00015058_01204638	0.434929	126	10
1_00003031_00242445	0.432099	127	10
1_00011774_00941910	0.432099	128	10
1_00013404_01072276	0.432099	129	10
1_00018751_01500033	0.432099	130	10
1_00008600_00687930	0.429154	131	10
1_00008867_00709336	0.429154	132	10
1_00010819_00865508	0.429154	133	10
1_00011791_00943252	0.429154	134	10
1_00012507_01000544	0.429154	135	10
1_00014100_01127961	0.429154	136	10
1_00016925_01353946	0.429154	137	10
1_00020060_01604754	0.429154	138	10
1_00020060_01604783	0.429154	139	10
1_00021793_01743374	0.429154	140	10
1_00005188_00415007	0.428975	141	10
1_00017010_01360782	0.428975	142	10
1_00018344_01467505	0.428975	143	10
1_00018755_01500335	0.427726	144	10
1_00018755_01500353	0.427726	145	10
1_00018755_01500393	0.427726	146	10
1_00018755_01500395	0.427726	147	10
1_00002226_00178015	0.4251	148	10
1_00022473_01797820	0.419945	149	10
1_00001746_00139610	0.419753	150	10
1_00009280_00742393	0.419753	151	10
1_00011743_00939374	0.419753	152	10
1_00013280_01062387	0.419753	153	10
1_00022790_01823172	0.419546	154	10
1_00022790_01823200	0.419546	155	10
1_00000261_00020866	0.41896	156	10
1_00012368_00989426	0.417918	157	10
1_00018065_01445164	0.417918	158	10
1_00004811_00384843	0.417777	159	10
1_00015973_01277798	0.417777	160	10
1_00011570_00925535	0.415332	161	10
1_00004693_00375436	0.412571	162	10
1_00004693_00375439	0.412571	163	10
1_00005122_00409741	0.409354	164	10
1_00011402_00912122	0.409354	165	10
1_00021789_01743121	0.408365	166	10
1_00012067_00965342	0.408317	167	10
1_00017158_01372579	0.408317	168	10
1_00017158_01372580	0.408317	169	10
1_00010066_00805280	0.408035	170	10
1_00004626_00370058	0.407407	171	10
1_00013937_01114926	0.40625	172	10
1_00011190_00895172	0.40613	173	10
1_00017309_01384654	0.405899	174	10
1_00017309_01384677	0.405899	175	10
1_00017309_01384697	0.405899	176	10
1_00005375_00429975	0.405485	177	10
1_00018385_01470740	0.401116	178	10
1_00016944_01355461	0.4	179	10
1_00001122_00089701	0.396552	180	10
1_00006934_00554716	0.396552	181	10
1_00007408_00592584	0.396552	182	10
1_00010292_00823326	0.396552	183	10
1_00011977_00958111	0.396552	184	10
1_00012474_00997881	0.396552	185	10
1_00013515_01081129	0.396552	186	10
1_00016368_01309422	0.396552	187	10
1_00024603_01968203	0.395973	188	10
1_00024603_01968217	0.395973	189	10
1_00011799_00943868	0.395442	190	10
1_00003995_00319550	0.393939	191	10
1_00013401_01072018	0.393939	192	10
1_00002996_00239615	0.388889	193	10
1_00007033_00562601	0.388889	194	10
1_00017774_01421891	0.387755	195	10
1_00000457_00036498	0.386973	196	10
1_00006884_00550702	0.386973	197	10
1_00006884_00550703	0.386973	198	10
1_00000922_00073741	0.384757	199	10
1_00013237_01058960	0.384757	200	10
1_00017230_01378343	0.384757	201	10
1_00020906_01672452	0.384757	202	10
1_00022191_01775268	0.384757	203	10
1_00021646_01731664	0.383863	204	10
1_00009594_00767500	0.382766	205	10
1_00004308_00344613	0.38172	206	10
1_00009662_00772953	0.38172	207	10
1_00017278_01382185	0.38172	208	10
1_00008281_00662480	0.377778	209	10
1_00011584_00926669	0.377778	210	10
1_00013257_01060544	0.377778	211	10
1_00016509_01320676	0.377778	212	10
1_00018032_01442548	0.377778	213	10
1_00020535_01642747	0.377778	214	10
1_00021218_01697377	0.377778	215	10
1_00008111_00648857	0.375574	216	10
1_00017236_01378861	0.375574	217	10
1_00020817_01665316	0.375574	218	10
1_00003388_00271041	0.375	219	10
1_00005061_00404830	0.375	220	10
1_00012970_01037537	0.375	221	10
1_00018027_01442118	0.375	222	10
1_00021317_01705313	0.375	223	10
1_00021367_01709311	0.375	224	10
1_00016363_01308984	0.37461	225	10
1_00002740_00219198	0.37276	226	10
